source,target,tgt_lng
A learning rule for asynchronous perceptrons with feedback in a combinatorial environment,Una regla de aprendizaje para perceptrones asíncronos con retroalimentación en un entorno combinatorio,
D. Zipser,D. Zipser,
A learning algorithm for continually running fully recurrent neural networks,Un algoritmo de aprendizaje para redes neuronales totalmente recurrentes en ejecución continua,
ICS Report 8805,Informe ICS 8805,
Inst. for Cog. Sci.,Instituto de Ciencias Cognitivas,
"La Jolla, CA","La Jolla, California",
S. A. White,S. A. White,
An adaptive recursive digital filter,Un filtro digital recursivo adaptativo,
Proc. 9th Asilomar Conf. Circuits Syst. Comput.,"Actas de la 9.ª Conferencia Asilomar sobre Circuitos, Sistemas y Computación",
B. Pearlmutter,B. Pearlmutter,
Learning state space trajectories in recurrent neural networks,Aprendizaje de trayectorias en el espacio de estados en redes neuronales recurrentes,
M. Holler,M. Holler,
An electrically trainable artificial neural network (etann) with 10240 ‘floating gate’ synapses,Una red neuronal artificial entrenable eléctricamente (ETANN) con 10240 sinapsis de ‘puerta flotante’,
D. Andes,D. Andes,
M. Lehr,M. Lehr,
E. Wan,E. Wan,
MRIII: A robust algorithm for training analog neural networks,MRIII: Un algoritmo robusto para entrenar redes neuronales analógicas,
LMS,LMS,
instantaneous gradient,gradiente instantáneo,
true gradient,gradiente verdadero,
training set,conjunto de entrenamiento,
linear error,error lineal,
average signal power,potencia de señal promedio,
autocorrelation matrix,matriz de autocorrelación,
minimum MSE solution,solución MSE mínima,
weight space,espacio de pesos,
Horowitz and Senne,Horowitz y Senne,
weight vector,vector de pesos,
zero-mean Gaussian process,proceso gaussiano de media cero,
optimal Wiener solution,solución óptima de Wiener,
p-LMS algorithm,algoritmo p-LMS,
step size,tamaño de paso,
MSE function,función MSE,
p-LMS,p-LMS,
learning constant,constante de aprendizaje,
gradient noise,ruido de gradiente,
voice synthesizer,sintetizador de voz,
Sejnowski,Sejnowski,
Rosenberg,Rosenberg,
Boltzmann learning method,método de aprendizaje de Boltzmann,
articulatory features,características articulatorias,
stress and syllable boundaries,límites de acentuación y sílaba,
phonetic features,características fonéticas,
ASCII code,código ASCII,
machine vision,visión artificial,
artificial intelligence,inteligencia artificial,
von Neumann computers,computadoras von Neumann,
biological nervous systems,sistemas nerviosos biológicos,
artificial neural networks,redes neuronales artificiales,
vehicular control simulations,simulaciones de control vehicular,
speech generation,generación de voz,
undersea mine detection,detección de minas submarinas,
airport explosive detection,detección de explosivos en aeropuertos,
expert systems,sistemas expertos,
neural network hardware,hardware de redes neuronales,
speech recognition,reconocimiento de voz,
adaptive linear combiner,combinador lineal adaptativo,
input pattern vector,vector de patrón de entrada,
Degg,Degg,
output-layer,capa de salida,
Fig. 11,Fig. 11,
Three-layer adaptive neural network,red neuronal adaptativa de tres capas,
training,entrenamiento,
error signals,señales de error,
adaptation,adaptación,
layered network,red en capas,
hidden-layer Adalines,Adalines de capa oculta,
Madaline II algorithm,algoritmo Madaline II,
Rumelhart et al.,Rumelhart et al.,
four-layer network,red de cuatro capas,
input layer,capa de entrada,
computing elements,elementos de cómputo,
LEHR,Lehr,
generalized backpropagation method,método de retropropagación generalizado,
high-order networks,redes de alto orden,
o-2 networks,redes o-2,
polynomial preprocessor,preprocesador polinomial,
translation invariance,invariancia a la traslación,
rotation invariance,invariancia a la rotación,
scale invariance,invariancia a la escala,
time invariance,invariancia temporal,
Fourier transform,transformada de Fourier,
Mellin transform,transformada de Mellin,
neural preprocessors,preprocesadores neuronales,
Giles,Giles,
Maxwell,Maxwell,
averaging approach,enfoque de promediado,
high-order threshold logic units,unidades lógicas de umbral de alto orden,
Zernike moments,momentos de Zernike,
graph matching,emparejamiento de grafos,
spatially repeated feature detectors,detectores de características repetidos espacialmente,
time-averaged outputs,salidas promediadas temporalmente,
network topologies,topologías de red,
nonlinear classifiers,clasificadores no lineales,
pattern capacity,capacidad de patrones,
fixed preprocessor,preprocesador fijo,
smooth nonlinearities,no linealidades suaves,
preprocessing network,red de preprocesamiento,
Cover's Adaline capacity theory,teoría de capacidad de Adaline de Cover,
statistical pattern capacity,capacidad de patrones estadística,
job assigner,asignador de tareas,
linear-output information,información de salida lineal,
load sharing,distribución de carga,
first layer,primera capa,
pattern presentation sequence,secuencia de presentación de patrones,
cyclic presentation,presentación cíclica,
cycle of adaptation,ciclo de adaptación,
adaptive system,sistema adaptativo,
Ridgway,Ridgway,
adapt cycle,ciclo de adaptación,
division of responsibility,división de responsabilidad,
training problem,problema de entrenamiento,
adaptation process,proceso de adaptación,
error probability,probabilidad de error,
algorithm,algoritmo,
local optima,óptimos locales,
Madaline structure,estructura de Madaline,
adaptive logic element,elemento lógico adaptativo,
fixed logic,lógica fija,
MRI adaptation rule,regla de adaptación MRI,
Hoff,Hoff,
or gate,puerta OR,
desired output,salida deseada,
linear output,salida lineal,
output decision,decisión de salida,
dead-zone constraint,restricción de zona muerta,
error correction,corrección de errores,
minimal weight change,cambio mínimo de peso,
multilayer binary network,red binaria multicapa,
MRII,MRII,
two-layer MRI network,red MRI de dos capas,
MRII rule,regla MRII,
first-layer Adaline,Adalines de primera capa,
Desired Response,Respuesta Deseada,
adaptive threshold element,elemento de umbral adaptativo,
quantizer error,error del cuantizador,
Perceptron convergence procedure,procedimiento de convergencia del Perceptrón,
input vector,vector de entrada,
a-LMS algorithm,algoritmo a-LMS,
normalized linear error,error lineal normalizado,
LMS rule,regla LMS,
stability,estabilidad,
convergence time,tiempo de convergencia,
binary desired responses,respuestas deseadas binarias,
training patterns,patrones de entrenamiento,
decision function,función de decisión,
linearly separable,linealmente separable,
Perceptron algorithm,algoritmo del Perceptrón,
switching function,función de conmutación,
adaptive element,elemento adaptativo,
MRIII,MRIII,
signum nonlinearities,no linealidades signo,
sigmoids,sigmoideas,
MSE surface,superficie del ECM,
Section VI-B,Sección VI-B,
gradient descent,descenso de gradiente,
perturbation,perturbación,
linear sum,suma lineal,
Hamming error,error de Hamming,
LMS direction,dirección LMS,
X-vector,X-vector,
binary +1 desired responses,respuestas deseadas binarias +1,
sum square error,error cuadrático medio,
MRI,MRI,
Euclidean error,error euclídeo,
"WIDROW AND LEHR: PERCEPTRON, MADALINE, AND BACKPROPAGATION","WIDROW Y LEHR: PERCEPTRON, MADALINE Y RETROPROPAGACIÓN",
dead zone,zona muerta,
Mays’s increment adaptation rule,regla de adaptación incremental de Mays,
modified relaxation,relajación modificada,
quantizer output,salida del cuantificador,
Eq. (17),Ecuación (17),
learning rate,tasa de aprendizaje,
pattern separation,separación de patrones,
Multilayer network,red multicapa,
ERROR-CORRECTION RULES—MULTI-ELEMENT NETWORKS,REGLAS DE CORRECCIÓN DE ERRORES—REDES MULTIELEMENTO,
Widrow-Hoff Madaline rule,regla Madaline de Widrow-Hoff,
Madaline Rule I,Regla Madaline I,
fixed-threshold-logic element,elemento lógico de umbral fijo,
WIDR,WIDR,
OW AND LEHR,OW AND LEHR,
sigmoid network,red sigmoide,
signum network,red signo,
Ada- line,Adalina,
Mays's rules,reglas de Mays,
Perceptron procedure,procedimiento del Perceptrón,
MRI! rule,regla MRI,
multilayer Madalines,Madalines multicapa,
least mean square,mínimo error cuadrático medio,
SINGLE THRESHOLD ELEMENT,Elemento de Umbral Único,
Gradient rules,reglas de gradiente,
linear problems,problemas lineales,
u-LMS algorithm,algoritmo u-LMS,
normalized training set,conjunto de entrenamiento normalizado,
Wiener solution,solución de Wiener,
input correlation matrix,matriz de correlación de entrada,
crosscorrelation,correlación cruzada,
normalized input,entrada normalizada,
normalized desired response,respuesta deseada normalizada,
learning constants,constantes de aprendizaje,
stable ranges,rangos estables,
Nonlinear Rules,Reglas no lineales,
Adaline elements,elementos Adaline,
nonlinearity,no linealidad,
sigmoid type,tipo sigmoide,
saturation,saturación,
decision making,toma de decisiones,
adaptivity,adaptabilidad,
sigmoid Adaline,Adaline sigmoide,
sigmoidal nonlinearity,no linealidad sigmoidal,
sigmoid error,error sigmoide,
steepest descent,descenso más pronunciado,
z-LMS algorithm,algoritmo z-LMS,
signum error,error signo,
R-matrix,matriz R,
nonlinear neural networks,redes neuronales no lineales,
sigmoid networks,redes sigmoides,
internal representations,representaciones internas,
binary codes,códigos binarios,
decision regions,regiones de decisión,
signum networks,redes signo,
Shannon information capacity,capacidad de información de Shannon,
binary element,elemento binario,
signum,signo,
linear combiner,combinador lineal,
mean square of the output error,error cuadrático medio del error de salida,
STEEPEST-DESCENT RULES—MULTI-ELEMENT NETWORKS,REGLAS DE DESCENSO MÁS RÁPIDO—REDES MULTIELEMENTO,
MSE,ECM,
Madaline Rule III,Regla Madaline III,
backpropagation rule,regla de retropropagación,
momentum technique,técnica de momento,
weight change vector,vector de cambio de peso,
momentum constant,constante de momento,
Shynk and Roy,Shynk y Roy,
normalized weight update equation,ecuación de actualización de pesos normalizada,
Euclidean distance,distancia euclidiana,
method of steepest descent,método del descenso más pronunciado,
gradient,gradiente,
Adaline element,elemento Adaline,
error-correction rules,reglas de corrección de errores,
mean-square error,error cuadrático medio,
linear rules,reglas lineales,
threshold element,elemento de umbral,
quadratic function,función cuadrática,
input pattern,patrón de entrada,
stationary ergodic ensembles,ensambles ergódicos estacionarios,
ensemble average,promedio de ensamble,
majority element,elemento mayoritario,
MAJ,MAJ,
Rosenblatt's Perceptron rule,regla del Perceptrón de Rosenblatt,
PROCEEDINGS OF THE IEEE,PROCEEDINGS OF THE IEEE,
VOL. 78,VOL. 78,
NO. 9,NO. 9,
SEPTEMBER 1990,SEPTIEMBRE 1990,
Separating,Separación,
Elliptical separating boundary,Frontera de separación elíptica,
Barron and Barron,Barron y Barron,
lvankhnenko,lvankhnenko,
Soviet Union,Unión Soviética,
polynomial approach,enfoque polinómico,
adaptive nonlinear discriminant functions,funciones discriminantes no lineales adaptativas,
polynomial discriminant function,función discriminante polinómica,
Specht,Specht,
noniterative training procedure,procedimiento de entrenamiento no iterativo,
gradient descent procedure,procedimiento de descenso de gradiente,
global solution,solución global,
Taylor series,serie de Taylor,
desired response function,función de respuesta deseada,
trigonometric terms,términos trigonométricos,
multidimensional Fourier series decomposition,descomposición en serie de Fourier multidimensional,
periodic version,versión periódica,
preprocessing functions,funciones de preprocesamiento,
single-layer networks,redes de una sola capa,
trainable preprocessors,preprocesadores entrenables,
trainable layered neural networks,redes neuronales en capas entrenables,
Glanz,Glanz,
memistors,memistores,
electrically variable resistors,resistores eléctricamente variables,
Retinal inputs,Entradas retinianas,
fixed logic device,dispositivo lógico fijo,
system output,salida del sistema,
Fig. 8,Fig. 8,
LMS (least mean square) algorithm,algoritmo LMS (mínimos cuadrados medios),
Widrow-Hoff delta rule,regla delta de Widrow-Hoff,
multi-element neural network,red neuronal multielemento,
weight vectors,vectores de pesos,
adaptive linear element,elemento lineal adaptativo,
hard-limiting quantizer,cuantizador de limitación dura,
bias weight,peso de sesgo,
threshold level,nivel umbral,
Linear Separability,Separabilidad Lineal,
summing junction,unión sumadora,
error derivative,derivada del error,
square error derivative,derivada del error cuadrático,
output layer,capa de salida,
hidden layer,capa oculta,
chain rule,regla de la cadena,
square-error derivative,derivada del error cuadrático,
threshold weight,peso umbral,
general position,posición general,
pattern vectors,vectores de patrón,
linearly independent set,conjunto linealmente independiente,
homogeneous hyperplane,hiperplano homogéneo,
Winder,Winder,
Cameron,Cameron,
Joseph,Joseph,
linear classifier,clasificador lineal,
fixed preprocessing network,red de preprocesamiento fija,
single adaptive element,elemento adaptativo único,
multi-element feedforward neural network,red neuronal feedforward de múltiples elementos,
nonlinear decision boundaries,fronteras de decisión no lineales,
sigmoid Adaline element,elemento Adaline sigmoide,
sample derivative,derivada muestral,
analytical derivative,derivada analítica,
weight updates,actualizaciones de pesos,
sigmoid non-linearities,no linealidades sigmoideas,
derivative functions,funciones derivadas,
perturbation measurements,mediciones de perturbación,
sigmoid implementations,implementaciones sigmoideas,
Steepest-descent training,entrenamiento de descenso de gradiente,
forward computation,cálculo hacia adelante,
backward computation,cálculo hacia atrás,
unperturbed error,error no perturbado,
perturbed error measurements,mediciones de error perturbado,
analog hardware,hardware analógico,
backward propagation of error-related signals,propagación hacia atrás de señales relacionadas con el error,
thresholding condition,condición de umbralización,
separating line,línea separadora,
separating hyperplane,hiperplano separador,
pattern space,espacio de patrones,
binary input patterns,patrones de entrada binarios,
linearly separable function,función linealmente separable,
exclusive Nor function,función O exclusiva,
logic functions,funciones lógicas,
Capacity of Linear Classifiers,Capacidad de los Clasificadores Lineales,
stimuli,estímulos,
inequality constraint,restricción de desigualdad,
simultaneous inequalities,desigualdades simultáneas,
binary patterns,patrones binarios,
layered sigmoid networks,redes sigmoidales en capas,
degrees of freedom,grados de libertad,
weights,pesos,
initial weight conditions,condiciones iniciales de los pesos,
generalization performance,rendimiento de generalización,
training set size,tamaño del conjunto de entrenamiento,
Nonlinear Classifier Application,Aplicación de Clasificador No Lineal,
Sejnowski and Rosenberg,Sejnowski y Rosenberg,
Hopfield networks,redes de Hopfield,
Eqs. (12) and (13),Ecs. (12) y (13),
adaptation cycle,ciclo de adaptación,
convergence,convergencia,
nonstationary environments,entornos no estacionarios,
speed of convergence,velocidad de convergencia,
input pattern vectors,vectores de patrones de entrada,
Total error correction,Corrección total del error,
self-normalizing algorithm,algoritmo de auto-normalización,
weight update,actualización de pesos,
binary +1 inputs,entradas binarias +1,
number of weights,número de pesos,
binary inputs,entradas binarias,
symmetric inputs +1 and -1,entradas simétricas +1 y -1,
Figure 12,Figura 12,
a-LMS rule,regla a-LMS,
Eq. (13),Ec. (13),
Eq. (12),Ec. (12),
negative dot product,producto punto negativo,
Hath Hf Hy,Hath Hf Hy,
sigmoidal network,red sigmoide,
simulated annealing,recocido simulado,
Widrow and Hoff,Widrow y Hoff,
Mays' rules,reglas de Mays,
Madaline I rule,regla Madaline I,
Madaline II rule,regla Madaline II,
n-LMS algorithm,algoritmo n-LMS,
Madaline III rule,regla Madaline III,
backpropagation training,entrenamiento por retropropagación,
input pattern vector X,vector de patrón de entrada X,
output response vector Y,vector de respuesta de salida Y,
adaptive machinery,mecanismo adaptativo,
network training speed,velocidad de entrenamiento de la red,
input space,espacio de entrada,
fixed-increment rule,regla de incremento fijo,
absolute-correction version,versión de corrección absoluta,
Mays's Algorithms,Algoritmos de Mays,
increment adaptation rule,regla de adaptación por incremento,
modified relaxation adaptation rule,regla de adaptación por relajación modificada,
Mays's increment adaptation algorithm,algoritmo de adaptación por incremento de Mays,
normalized version,versión normalizada,
weight increment vector,vector de incremento de pesos,
Nilsson,Nilsson,
trial adaptation,adaptación de prueba,
binary output,salida binaria,
bit inversion,inversión de bit,
weight adaptation,adaptación de pesos,
linear-output magnitudes,magnitudes de salida lineal,
training pattern,patrón de entrenamiento,
linear rule,regla lineal,
Perceptron Learning Rule,Regla de aprendizaje del perceptrón,
Mays,Mays,
statistical pattern capacity C,capacidad de patrón estadístico C,
input patterns,patrones de entrada,
deterministic pattern capacity C,capacidad de patrón determinista C,
two-category pattern classification,clasificación de patrones de dos categorías,
Fig. 5,Fig. 5,
hyperbolic tangent function,función tangente hiperbólica,
Adaptive linear element (Adaline),Elemento lineal adaptativo (Adaline),
linearly separable logic functions,funciones lógicas linealmente separables,
threshold logic functions,funciones lógicas de umbral,
pattern vector space,espacio de vectores de patrones,
Backpropagation for Networks,Retropropagación para Redes,
hard-limiting nonlinearities,no linealidades de limitación dura,
single sigmoid Adaline,Adaline sigmoide simple,
multi-element networks,redes multielemento,
instantaneous error gradient,gradiente de error instantáneo,
Adaptive Control and Signal Processing,Control Adaptativo y Procesamiento de Señales,
Information Sciences,Ciencias de la Información,
S. D. Stearns,S. D. Stearns,
Prentice Hall,Prentice Hall,
Dr. Widrow,Dr. Widrow,
MIT,MIT,
American Association of University Professors,Asociación Estadounidense de Profesores Universitarios,
Pattern Recognition Society,Sociedad de Reconocimiento de Patrones,
Sigma Xi,Sigma Xi,
Tau Beta Pi,Tau Beta Pi,
American Association for the Advancement of Science,Asociación Estadounidense para el Avance de la Ciencia,
International Neural Network Society,Sociedad Internacional de Redes Neuronales,
IEEE Alexander Graham Bell Medal,Medalla IEEE Alexander Graham Bell,
New Jersey,Nueva Jersey,
B.E.E. degree,título B.E.E.,
Georgia,Georgia,
Motorola,Motorola,
Ft. Lauderdale,Ft. Lauderdale,
Florida,Florida,
Manassas,Manassas,
Virginia,Virginia,
General Radiotelephone Operator License,Licencia General de Operador de Radiotelefonía,
trained sigmoidal network,red sigmoidal entrenada,
backpropagation learning process,proceso de aprendizaje de retropropagación,
first-layer weights,pesos de la primera capa,
third-layer weight,peso de la tercera capa,
untrained network,red no entrenada,
backpropagation iteration,iteración de retropropagación,
weight update rule,regla de actualización de pesos,
matrix,matriz,
convex hyperparaboloidal surface,superficie hiperparaboloide convexa,
bias component,componente de sesgo,
Madaline I,Madaline I,
or element,elemento OR,
Koford,Koford,
early 1960s,principios de la década de 1960,
output elements,elementos de salida,
statistical storage capacity,capacidad de almacenamiento estadístico,
Madaline | network,red Madaline,
adaptive weights,pesos adaptativos,
statistical capacity C,capacidad estadística C,
number of bits of information,número de bits de información,
critical thresholding condition,condición de umbral crítico,
separating boundary,frontera de separación,
linearly separable functions,funciones linealmente separables,
nonlinearities,no linealidades,
polynomial functions,funciones polinómicas,
polynomial discriminants,discriminantes polinómicos,
electrocardiographic signals,señales electrocardiográficas,
Adaptive,Adaptativo,
Element,Elemento,
Output,Salida,
Input,Entrada,
Decision,Decisión,
Threshold,Umbral,
a-Perceptron,a-Perceptrón,
"VOL. 78, NO. 9, SEPTEMBER 199","VOL. 78, NO. 9, SEPTIEMBRE DE 199",
kth input vector,k-ésimo vector de entrada,
nonlinear sigmoid,sigmoides no lineal,
AND,AND,
feedfoward neural networks,redes neuronales de avance directo,
back-propagation networks,redes de retropropagación,
fully connected three-layer feedforward adaptive network,red adaptativa de avance directo completamente conectada de tres capas,
Desired,Deseado,
Response,Respuesta,
MRII!,MRII!,
MSE surfaces,superficies de ECM,
Fig. 9,Fig. 9,
Two-Adaline form,Forma de dos Adalinas,
AND logic device,dispositivo lógico AND,
Rosenblatt’s Perceptron learning rule,regla de aprendizaje del Perceptrón de Rosenblatt,
1960,1960,
Widrow and Hoff’s LMS rule,regla LMS de Widrow y Hoff,
1959,1959,
Fig. 14,Fig. 14,
Pattern,Patrón,
Vector,Vector,
Device,Dispositivo,
Quantizer,Cuantificador,
SEPTEMBER,septiembre,
analog implementations,implementaciones analógicas,
signum devices,dispositivos signum,
sigmoid devices,dispositivos sigmoide,
Fig. 25,Fig. 25,
AND gate,puerta AND,
majority-vote-taker,tomador de votos por mayoría,
Eq. (10),Ec. (10),
error,error,
definition (11),definición (11),
desired responses,respuestas deseadas,
normalizing,normalización,
gradient estimate,estimación del gradiente,
Derrick Nguyen,Derrick Nguyen,
Madaline II architecture,arquitectura Madaline II,
y-LMS,y-LMS,
Backprop,Retropropagación,
k Algorithm,algoritmo k,
filtering,filtrado,
images,imágenes,
brains,cerebros,
solid-state operational amplifiers,amplificadores operacionales de estado sólido,
logic gates,compuertas lógicas,
Madalines,Madalines,
1960s,década de 1960,
truck backup sequence,secuencia de retroceso de camión,
Binary,Binario,
Polynomial,Polinomio,
Preprocessor,Preprocesador,
logical neuron,neurona lógica,
neural cell body,cuerpo de la célula neural,
"Fellow, IEEE","Fellow, IEEE",
Steepest Error Descent Correction Rules,Reglas de Corrección del Descenso más Pronunciado del Error,
Layered,En Capas,
Single,Único,
Network Element,Elemento de Red,
Network,Red,
